"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"1","addetta",632,"addetta","NOUN-F:s","addett_",6.44888939414686,"animate",45.107,9.936
"2","addette",402,"addetta","NOUN-F:p","addett_",5.99645208861902,"animate",39.484,8.818
"3","addetti",47638,"addetto","NOUN-M:p","addett_",10.7713860410599,"animate",7.363,11.465
"4","addetto",8205,"addetto","NOUN-M:s","addett_",9.01249900352419,"animate",16.586,11.298
"5","adepta",58,"adepta","NOUN-F:s","adept_",4.06044301054642,"animate",78.914,7.769
"6","adepte",32,"adepta","NOUN-F:p","adept_",3.46573590279973,"animate",89.349,7.179
"7","adepti",2736,"adepto","NOUN-M:p","adept_",7.91425227874244,"animate",35.31,11.2
"8","adepto",471,"adepto","NOUN-M:s","adept_",6.15485809401642,"animate",58.924,10.074
"9","adulta",592,"adulta","NOUN-F:s","adult_",6.38350663488401,"animate",50.791,10.061
"10","adulte",1294,"adulta","NOUN-F:p","adult_",7.16549347506085,"animate",26.406,9.145
"11","adulti",11199,"adulto","NOUN-M:p","adult_",9.32357976758269,"animate",16.069,11.323
"12","adulto",12040,"adulto","NOUN-M:s","adult_",9.39598971886281,"animate",17.013,11.329
"13","affiliata",256,"affiliata","NOUN-F:s","affiliat_",5.54517744447956,"animate",53.511,8.918
"14","affiliate",517,"affiliata","NOUN-F:p","affiliat_",6.24804287450843,"animate",30.47,8.45
"15","affiliati",2217,"affiliato","NOUN-M:p","affiliat_",7.70391020961631,"animate",30.261,10.744
"16","affiliato",773,"affiliato","NOUN-M:s","affiliat_",6.65027904858742,"animate",37.599,9.815
"17","africana",705,"africana","NOUN-F:s","african_",6.55819780281227,"animate",48.302,10.283
"18","africane",566,"africana","NOUN-F:p","african_",6.33859407820318,"animate",45.752,9.713
"19","africani",4217,"africano","NOUN-M:p","african_",8.34687925374656,"animate",26.699,11.196
"20","africano",402,"africano","NOUN-M:s","african_",5.99645208861902,"animate",55.352,9.614
"21","allieva",1931,"allieva","NOUN-F:s","alliev_",7.56579328242851,"animate",37.082,10.608
"22","allieve",1616,"allieva","NOUN-F:p","alliev_",7.38770923908104,"animate",34.255,10.437
"23","allievi",43826,"allievo","NOUN-M:p","alliev_",10.6879825275553,"animate",7.458,11.56
"24","allievo",17772,"allievo","NOUN-M:s","alliev_",9.7853794640558,"animate",13.882,11.642
"25","alunna",1178,"alunna","NOUN-F:s","alunn_",7.07157336421153,"animate",33.613,10.087
"26","alunne",959,"alunna","NOUN-F:p","alunn_",6.86589107488344,"animate",35.458,9.626
"27","alunni",85364,"alunno","NOUN-M:p","alunn_",11.3546797452339,"animate",4.061,10.956
"28","alunno",17561,"alunno","NOUN-M:s","alunn_",9.77343581317585,"animate",9.237,10.89
"29","amica",29294,"amica","NOUN-F:s","amic_",10.2851379958783,"animate",13.672,11.51
"30","amiche",2091,"amica","NOUN-F:p","amic_",7.64539769942863,"animate",37.305,10.847
"31","amici",157543,"amico","NOUN-M:p","amic_",11.9674537158588,"animate",6.333,12.122
"32","amico",148397,"amico","NOUN-M:s","amic_",11.9076463938777,"animate",6.878,12.114
"33","antenata",276,"antenata","NOUN-F:s","antenat_",5.62040086571715,"animate",63.557,9.493
"34","antenate",130,"antenata","NOUN-F:p","antenat_",4.86753445045558,"animate",73.713,8.796
"35","antenati",6168,"antenato","NOUN-M:p","antenat_",8.72712991524317,"animate",26.185,11.61
"36","antenato",1940,"antenato","NOUN-M:s","antenat_",7.57044325205737,"animate",37.106,10.79
"37","antropologa",768,"antropologa","NOUN-F:s","antropolog_",6.64378973314767,"animate",48.075,10.265
"38","antropologhe",35,"antropologa","NOUN-F:p","antropolog_",3.55534806148941,"animate",73.399,6.95
"39","antropologi",1669,"antropologo","NOUN-M:p","antropolog_",7.41997992366183,"animate",32.98,10.502
"40","antropologo",2219,"antropologo","NOUN-M:s","antropolog_",7.70481192293259,"animate",34.802,10.962
"41","anziana",1733,"anziana","NOUN-F:s","anzian_",7.45760928971561,"animate",38.751,10.835
"42","anziane",525,"anziana","NOUN-F:p","anzian_",6.26339826259162,"animate",48.131,9.649
"43","anziani",69264,"anziano","NOUN-M:p","anzian_",11.1456805696818,"animate",6.055,11.403
"44","anziano",3907,"anziano","NOUN-M:s","anzian_",8.27052509505507,"animate",26.084,11.18
"45","appassionata",1030,"appassionata","NOUN-F:s","appassionat_",6.93731408122368,"animate",46.376,10.454
"46","appassionate",180,"appassionata","NOUN-F:p","appassionat_",5.19295685089021,"animate",65.717,9.066
"47","appassionati",26090,"appassionato","NOUN-M:p","appassionat_",10.1693073781308,"animate",12.133,11.784
"48","appassionato",3670,"appassionato","NOUN-M:s","appassionat_",8.20794694104862,"animate",27.981,10.851
"49","assassina",632,"assassina","NOUN-F:s","assassin_",6.44888939414686,"animate",51.063,9.991
"50","assassine",122,"assassina","NOUN-F:p","assassin_",4.80402104473326,"animate",71.659,8.702
"51","assassini",9940,"assassino","NOUN-M:p","assassin_",9.20432229965062,"animate",20.365,11.775
"52","assassini",9940,"assassino","NOUN-M:p","assassin_",9.20432229965062,"animate",20.365,11.775
"53","assassino",10190,"assassino","NOUN-M:s","assassin_",9.22916212621677,"animate",19.838,11.479
"54","astrologa",178,"astrologa","NOUN-F:s","astrolog_",5.18178355029209,"animate",67.65,8.969
"55","astrologhe",20,"astrologa","NOUN-F:p","astrolog_",2.99573227355399,"animate",63.636,6.096
"56","astrologi",1148,"astrologo","NOUN-M:p","astrolog_",7.04577657687951,"animate",42.128,10.505
"57","astrologo",895,"astrologo","NOUN-M:s","astrolog_",6.79682371827486,"animate",46.558,10.387
"58","avversari",29764,"avversario","NOUN-M:p","avversari_",10.3010548885172,"animate",12.458,11.867
"59","avversaria",4908,"avversaria","NOUN-F:s","avversari_",8.4986218058308,"animate",22.401,10.806
"60","avversarie",3285,"avversaria","NOUN-F:p","avversari_",8.09712193091871,"animate",28.906,11.086
"61","avversario",29725,"avversario","NOUN-M:s","avversari_",10.299743721559,"animate",12.068,11.791
"62","ballerina",4246,"ballerina","NOUN-F:s","ballerin_",8.3537326422632,"animate",27.531,11.089
"63","ballerine",1772,"ballerina","NOUN-F:p","ballerin_",7.47986413116503,"animate",39.833,11.036
"64","ballerini",2691,"ballerino","NOUN-M:p","ballerin_",7.89766815072691,"animate",30.072,10.862
"65","ballerino",2514,"ballerino","NOUN-M:s","ballerin_",7.82963038915019,"animate",29.888,10.606
"66","bambina",33317,"bambina","NOUN-F:s","bambin_",10.4138230562129,"animate",11.897,11.638
"67","bambine",16152,"bambina","NOUN-F:p","bambin_",9.68979915999267,"animate",13.426,10.84
"68","bambini",331096,"bambino","NOUN-M:p","bambin_",12.71016364252,"animate",3.304,12.052
"69","bambino",151888,"bambino","NOUN-M:s","bambin_",11.9308986861216,"animate",5.239,11.968
"70","barbara",606,"barbara","NOUN-F:s","barbar_",6.40687998606931,"animate",49.474,9.732
"71","barbare",16,"barbara","NOUN-F:p","barbar_",2.77258872223978,"animate",83.871,6.031
"72","barbari",3571,"barbaro","NOUN-M:p","barbar_",8.18060094759445,"animate",30.204,11.175
"73","barbaro",1066,"barbaro","NOUN-M:s","barbar_",6.97166860472579,"animate",48.796,10.718
"74","beneficiari",12914,"beneficiario","NOUN-M:p","beneficiari_",9.46606727318641,"animate",10.132,11.022
"75","beneficiaria",356,"beneficiaria","NOUN-F:s","beneficiari_",5.87493073085203,"animate",46.341,9.406
"76","beneficiarie",305,"beneficiaria","NOUN-F:p","beneficiari_",5.72031177660741,"animate",47.048,9.325
"77","beneficiario",8712,"beneficiario","NOUN-M:s","beneficiari_",9.0724566646128,"animate",10.357,10.532
"78","bidella",338,"bidella","NOUN-F:s","bidell_",5.82304589548302,"animate",55.659,9.307
"79","bidelle",84,"bidella","NOUN-F:p","bidell_",4.43081679884331,"animate",72.078,8.117
"80","bidelli",997,"bidello","NOUN-M:p","bidell_",6.90475076996184,"animate",35.186,9.956
"81","bidello",1067,"bidello","NOUN-M:s","bidell_",6.97260625130175,"animate",38.572,10.073
"82","bimba",9670,"bimba","NOUN-F:s","bimb_",9.17678358844734,"animate",20.041,11.129
"83","bimbe",1362,"bimba","NOUN-F:p","bimb_",7.21670948670946,"animate",39.328,10.397
