"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"1","abitucci",14,"abituccio","NOUN-M:p","abitucci_",2.639,"control",82.192,5.772
"2","abituccio",22,"abituccio","NOUN-M:s","abitucci_",3.091,"control",92.593,6.6
"3","aborti",2506,"aborto","NOUN-M:p","abort_",7.826,"control",26.647,10.534
"4","aborto",17899,"aborto","NOUN-M:s","abort_",9.793,"control",10.977,11.04
"5","acciaieria",504,"acciaieria","NOUN-F:s","acciaieri_",6.223,"control",50.161,9.885
"6","acciaierie",1036,"acciaieria","NOUN-F:p","acciaieri_",6.943,"control",37.096,10.238
"7","ammicchi",32,"ammicco","NOUN-M:p","ammicc_",3.466,"control",92,7.262
"8","ammicco",44,"ammicco","NOUN-M:s","ammicc_",3.784,"control",76.106,7.227
"9","annata",8895,"annata","NOUN-F:s","annat_",9.093,"control",20.237,11.55
"10","annate",3292,"annata","NOUN-F:p","annat_",8.099,"control",27.829,11.026
"11","antibiotici",4837,"antibiotico","NOUN-M:p","antibiotic_",8.484,"control",20.645,10.916
"12","antibiotico",1456,"antibiotico","NOUN-M:s","antibiotic_",7.283,"control",35.733,10.518
"13","apparati",17765,"apparato","NOUN-M:p","apparat_",9.785,"control",12.732,11.853
"14","apparato",31039,"apparato","NOUN-M:s","apparat_",10.343,"control",11.309,12.181
"15","appesantimenti",365,"appesantimento","NOUN-M:p","appesantiment_",5.9,"control",47.657,9.399
"16","appesantimento",1182,"appesantimento","NOUN-M:s","appesantiment_",7.075,"control",36.367,10.474
"17","asfissia",987,"asfissia","NOUN-F:s","asfissi_",6.895,"control",45.153,10.657
"18","asfissie",15,"asfissia","NOUN-F:p","asfissi_",2.708,"control",99.038,6.681
"19","asili",9283,"asilo","NOUN-M:p","asil_",9.136,"control",10.821,9.945
"20","asilo",55416,"asilo","NOUN-M:s","asil_",10.923,"control",5.146,10.608
"21","assise",4528,"assise","NOUN-F:s","assis_",8.418,"control",18.705,9.83
"22","assisi",145,"assise","NOUN-F:p","assis_",4.977,"control",68.646,8.902
"23","avviamenti",1395,"avviamento","NOUN-M:p","avviament_",7.241,"control",20.652,9.355
"24","avviamento",14645,"avviamento","NOUN-M:s","avviament_",9.592,"control",9.936,10.903
"25","bailamme",467,"bailamme","NOUN-M:s","bailamm_",6.146,"control",56.59,9.918
"26","baldoria",827,"baldoria","NOUN-F:s","baldori_",6.718,"control",42.117,9.765
"27","baldorie",108,"baldoria","NOUN-F:p","baldori_",4.682,"control",65.648,8.536
"28","banchina",3465,"banchina","NOUN-F:s","banchin_",8.15,"control",25.09,10.941
"29","banchine",2049,"banchina","NOUN-F:p","banchin_",7.625,"control",27.292,10.52
"30","bastonatura",78,"bastonatura","NOUN-F:s","bastonatur_",4.357,"control",76.978,8.175
"31","bastonature",81,"bastonatura","NOUN-F:p","bastonatur_",4.394,"control",73.228,8.361
"32","bicentenari",14,"bicentenario","NOUN-M:p","bicentenari_",2.639,"control",77.966,5.357
"33","bicentenario",1097,"bicentenario","NOUN-M:s","bicentenari_",7,"control",34.206,9.554
"34","biellese",717,"biellese","NOUN-M:s","bielles_",6.575,"control",48.653,10.482
"35","biellesi",269,"biellese","NOUN-M:p","bielles_",5.595,"control",61.739,9.667
"36","bilanci",33839,"bilancio","NOUN-M:p","bilanci_",10.429,"control",6.833,11.169
"37","bilancio",263107,"bilancio","NOUN-M:s","bilanci_",12.48,"control",1.974,10.691
"38","bimillenari",9,"bimillenario","NOUN-M:p","bimillenari_",2.197,"control",93.878,5.492
"39","bimillenario",132,"bimillenario","NOUN-M:s","bimillenari_",4.883,"control",65.504,8.571
