"","Form","Freq","lemma","POS"
"1","addetta",632,"addetta","NOUN-F:s"
"2","addette",402,"addetta","NOUN-F:p"
"3","addetti",47638,"addetto","NOUN-M:p"
"4","addetto",8205,"addetto","NOUN-M:s"
"5","adepta",58,"adepta","NOUN-F:s"
"6","adepte",32,"adepta","NOUN-F:p"
"7","adepti",2736,"adepto","NOUN-M:p"
"8","adepto",471,"adepto","NOUN-M:s"
"9","adulta",592,"adulta","NOUN-F:s"
"10","adulte",1294,"adulta","NOUN-F:p"
"11","adulti",11199,"adulto","NOUN-M:p"
"12","adulto",12040,"adulto","NOUN-M:s"
"13","affiliata",256,"affiliata","NOUN-F:s"
"14","affiliate",517,"affiliata","NOUN-F:p"
"15","affiliati",2217,"affiliato","NOUN-M:p"
"16","affiliato",773,"affiliato","NOUN-M:s"
"17","africana",705,"africana","NOUN-F:s"
"18","africane",566,"africana","NOUN-F:p"
"19","africani",4217,"africano","NOUN-M:p"
"20","africano",402,"africano","NOUN-M:s"
"21","allieva",1931,"allieva","NOUN-F:s"
"22","allieve",1616,"allieva","NOUN-F:p"
"23","allievi",43826,"allievo","NOUN-M:p"
"24","allievo",17772,"allievo","NOUN-M:s"
"25","alunna",1178,"alunna","NOUN-F:s"
"26","alunne",959,"alunna","NOUN-F:p"
"27","alunni",85364,"alunno","NOUN-M:p"
"28","alunno",17561,"alunno","NOUN-M:s"
"29","amica",29294,"amica","NOUN-F:s"
"30","amiche",2091,"amica","NOUN-F:p"
"31","amici",157543,"amico","NOUN-M:p"
"32","amico",148397,"amico","NOUN-M:s"
"33","antenata",276,"antenata","NOUN-F:s"
"34","antenate",130,"antenata","NOUN-F:p"
"35","antenati",6168,"antenato","NOUN-M:p"
"36","antenato",1940,"antenato","NOUN-M:s"
"37","antropologa",768,"antropologa","NOUN-F:s"
"38","antropologhe",35,"antropologa","NOUN-F:p"
"39","antropologi",1669,"antropologo","NOUN-M:p"
"40","antropologo",2219,"antropologo","NOUN-M:s"
"41","anziana",1733,"anziana","NOUN-F:s"
"42","anziane",525,"anziana","NOUN-F:p"
"43","anziani",69264,"anziano","NOUN-M:p"
"44","anziano",3907,"anziano","NOUN-M:s"
"45","appassionata",1030,"appassionata","NOUN-F:s"
"46","appassionate",180,"appassionata","NOUN-F:p"
"47","appassionati",26090,"appassionato","NOUN-M:p"
"48","appassionato",3670,"appassionato","NOUN-M:s"
"49","assassina",632,"assassina","NOUN-F:s"
"50","assassine",122,"assassina","NOUN-F:p"
"51","assassini",9940,"assassino","NOUN-M:p"
"52","assassino",10190,"assassino","NOUN-M:s"
"53","astrologa",178,"astrologa","NOUN-F:s"
"54","astrologhe",20,"astrologa","NOUN-F:p"
"55","astrologi",1148,"astrologo","NOUN-M:p"
"56","astrologo",895,"astrologo","NOUN-M:s"
"57","avversari",29764,"avversario","NOUN-M:p"
"58","avversaria",4908,"avversaria","NOUN-F:s"
"59","avversarie",3285,"avversaria","NOUN-F:p"
"60","avversario",29725,"avversario","NOUN-M:s"
"61","ballerina",4246,"ballerina","NOUN-F:s"
"62","ballerine",1772,"ballerina","NOUN-F:p"
"63","ballerini",2691,"ballerino","NOUN-M:p"
"64","ballerino",2514,"ballerino","NOUN-M:s"
"65","bambina",33317,"bambina","NOUN-F:s"
"66","bambine",16152,"bambina","NOUN-F:p"
"67","bambini",331096,"bambino","NOUN-M:p"
"68","bambino",151888,"bambino","NOUN-M:s"
"69","barbara",606,"barbara","NOUN-F:s"
"70","barbare",16,"barbara","NOUN-F:p"
"71","barbari",3571,"barbaro","NOUN-M:p"
"72","barbaro",1066,"barbaro","NOUN-M:s"
"73","beneficiari",12914,"beneficiario","NOUN-M:p"
"74","beneficiaria",356,"beneficiaria","NOUN-F:s"
"75","beneficiarie",305,"beneficiaria","NOUN-F:p"
"76","beneficiario",8712,"beneficiario","NOUN-M:s"
"77","bidella",338,"bidella","NOUN-F:s"
"78","bidelle",84,"bidella","NOUN-F:p"
"79","bidelli",997,"bidello","NOUN-M:p"
"80","bidello",1067,"bidello","NOUN-M:s"
"81","bimba",9670,"bimba","NOUN-F:s"
"82","bimbe",1362,"bimba","NOUN-F:p"
"83","bimbi",18670,"bimbo","NOUN-M:p"
"84","bimbo",18849,"bimbo","NOUN-M:s"
"85","biologa",744,"biologa","NOUN-F:s"
"86","biologhe",31,"biologa","NOUN-F:p"
"87","biologi",3565,"biologo","NOUN-M:p"
"88","biologo",3444,"biologo","NOUN-M:s"
"89","bisnonna",413,"bisnonna","NOUN-F:s"
"90","bisnonne",52,"bisnonna","NOUN-F:p"
