"","Form","Freq","lemma","POS","base","logtoken","nountype"
"1","addetta",632,"addetta","NOUN-F:s","addett_",6.449,"animate"
"2","addette",402,"addetta","NOUN-F:p","addett_",5.996,"animate"
"3","addetti",47638,"addetto","NOUN-M:p","addett_",10.771,"animate"
"4","addetto",8205,"addetto","NOUN-M:s","addett_",9.012,"animate"
"5","adepta",58,"adepta","NOUN-F:s","adept_",4.06,"animate"
"6","adepte",32,"adepta","NOUN-F:p","adept_",3.466,"animate"
"7","adepti",2736,"adepto","NOUN-M:p","adept_",7.914,"animate"
"8","adepto",471,"adepto","NOUN-M:s","adept_",6.155,"animate"
"9","adulta",592,"adulta","NOUN-F:s","adult_",6.384,"animate"
"10","adulte",1294,"adulta","NOUN-F:p","adult_",7.165,"animate"
"11","adulti",11199,"adulto","NOUN-M:p","adult_",9.324,"animate"
"12","adulto",12040,"adulto","NOUN-M:s","adult_",9.396,"animate"
"13","affiliata",256,"affiliata","NOUN-F:s","affiliat_",5.545,"animate"
"14","affiliate",517,"affiliata","NOUN-F:p","affiliat_",6.248,"animate"
"15","affiliati",2217,"affiliato","NOUN-M:p","affiliat_",7.704,"animate"
"16","affiliato",773,"affiliato","NOUN-M:s","affiliat_",6.65,"animate"
"17","africana",705,"africana","NOUN-F:s","african_",6.558,"animate"
"18","africane",566,"africana","NOUN-F:p","african_",6.339,"animate"
"19","africani",4217,"africano","NOUN-M:p","african_",8.347,"animate"
"20","africano",402,"africano","NOUN-M:s","african_",5.996,"animate"
"21","allieva",1931,"allieva","NOUN-F:s","alliev_",7.566,"animate"
"22","allieve",1616,"allieva","NOUN-F:p","alliev_",7.388,"animate"
"23","allievi",43826,"allievo","NOUN-M:p","alliev_",10.688,"animate"
"24","allievo",17772,"allievo","NOUN-M:s","alliev_",9.785,"animate"
"25","alunna",1178,"alunna","NOUN-F:s","alunn_",7.072,"animate"
"26","alunne",959,"alunna","NOUN-F:p","alunn_",6.866,"animate"
"27","alunni",85364,"alunno","NOUN-M:p","alunn_",11.355,"animate"
